,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS,BANKBARODA.NS,FINOLEXIND.BO,IBULHSGFIN.NS
Date,,,,,,,,,,,,,,,,,,
2012-11-16,130.14942932128906,59.068115234375,,147.1199951171875,62.5,,152.1300048828125,64.0,,146.30999755859375,61.900001525878906,,150.36000061035156,63.849998474121094,,1605190,18528,
2012-11-19,128.9197540283203,57.886756896972656,,145.72999572753906,61.25,,148.85000610351562,62.79999923706055,,145.1300048828125,61.0,,148.39999389648438,62.54999923706055,,2960035,34132,
2012-11-20,128.00857543945312,56.37460708618164,,144.6999969482422,59.650001525878906,,147.0,62.25,,144.19000244140625,59.400001525878906,,146.3000030517578,62.25,,2107990,22002,
2012-11-21,129.3709259033203,56.043827056884766,,146.24000549316406,59.29999923706055,,146.8000030517578,60.099998474121094,,143.16000366210938,58.650001525878906,,144.72000122070312,60.0,,2055420,24806,
2012-11-22,129.85748291015625,56.138336181640625,,146.7899932861328,59.400001525878906,,147.55999755859375,60.0,,144.92999267578125,59.25,,146.4499969482422,60.0,,1743325,14720,
2012-11-23,128.76934814453125,58.12302017211914,,145.55999755859375,61.5,,147.60000610351562,61.79999923706055,,145.2899932861328,59.349998474121094,,147.0500030517578,60.29999923706055,,1443635,38111,
2012-11-26,128.00857543945312,57.225196838378906,,144.6999969482422,60.54999923706055,,146.60000610351562,63.150001525878906,,144.1999969482422,59.0,,146.0,63.150001525878906,,1677165,38136,
2012-11-27,129.13206481933594,57.461463928222656,,145.97000122070312,60.79999923706055,,146.9199981689453,61.79999923706055,,145.30999755859375,60.5,,145.39999389648438,61.75,,2640175,38120,
2012-11-29,130.7598114013672,58.02852249145508,,147.80999755859375,61.400001525878906,,149.1999969482422,62.5,,146.25,61.099998474121094,,147.1999969482422,61.5,,4153755,55967,
2012-11-30,134.926513671875,58.26478958129883,,152.52000427246094,61.650001525878906,,153.9600067138672,62.29999923706055,,148.22000122070312,61.29999923706055,,149.19000244140625,61.29999923706055,,4381050,20142,
2012-12-03,134.1303253173828,59.39889907836914,,151.6199951171875,62.849998474121094,,153.67999267578125,63.20000076293945,,151.0399932861328,61.70000076293945,,152.66000366210938,61.849998474121094,,1824535,47853,
2012-12-04,136.50115966796875,60.580257415771484,,154.3000030517578,64.0999984741211,,154.8800048828125,65.6500015258789,,151.39999389648438,63.25,,151.6199951171875,63.349998474121094,,2654360,85315,
2012-12-05,138.42971801757812,60.911033630371094,,156.47999572753906,64.44999694824219,,157.75999450683594,68.55000305175781,,154.57000732421875,63.599998474121094,,156.0,64.9000015258789,,3393780,298254,
2012-12-06,140.00437927246094,59.8714485168457,,158.25999450683594,63.349998474121094,,159.0,64.69999694824219,,154.72000122070312,63.150001525878906,,157.97999572753906,64.69999694824219,,4238930,42302,
2012-12-07,141.2252197265625,59.77692794799805,,159.63999938964844,63.25,,160.7899932861328,65.0,,158.39999389648438,63.0,,159.1999969482422,65.0,,3044335,59419,
2012-12-10,146.52426147460938,60.34398651123047,,165.6300048828125,63.849998474121094,,166.25999450683594,64.0,,158.77000427246094,63.099998474121094,,160.60000610351562,64.0,,5319140,79880,
2012-12-11,146.0730743408203,59.02085876464844,,165.1199951171875,62.45000076293945,,167.8000030517578,64.5,,163.6300048828125,62.0,,166.3000030517578,64.5,,4447680,78543,
2012-12-12,144.99380493164062,58.59557342529297,,163.89999389648438,62.0,,166.27999877929688,63.349998474121094,,163.00999450683594,61.849998474121094,,166.27999877929688,63.349998474121094,,3649940,38302,
2012-12-13,144.48072814941406,60.29673385620117,,163.32000732421875,63.79999923706055,,166.67999267578125,64.5,,162.72000122070312,61.79999923706055,,164.39999389648438,61.79999923706055,,3007740,231023,
2012-12-14,148.87741088867188,59.39889907836914,,168.2899932861328,62.849998474121094,,169.58999633789062,65.69999694824219,,160.4199981689453,62.599998474121094,,162.16000366210938,65.30000305175781,,6021165,311904,
2012-12-17,148.8508758544922,59.493412017822266,,168.25999450683594,62.95000076293945,,169.97999572753906,63.900001525878906,,167.0,62.75,,169.60000610351562,62.900001525878906,,5118035,24795,
2012-12-18,150.36361694335938,59.493412017822266,,169.97000122070312,62.95000076293945,,171.38999938964844,63.75,,165.33999633789062,62.599998474121094,,170.0,63.599998474121094,,6284395,27789,
2012-12-19,152.39833068847656,59.493412017822266,,172.27000427246094,62.95000076293945,,173.8000030517578,63.849998474121094,,170.0399932861328,62.599998474121094,,171.9600067138672,63.099998474121094,,4188270,22228,
2012-12-20,152.00906372070312,58.831844329833984,,171.8300018310547,62.25,,172.97000122070312,63.20000076293945,,169.0,62.099998474121094,,172.0500030517578,62.95000076293945,,1793565,35410,
2012-12-21,149.25782775878906,59.8714485168457,,168.72000122070312,63.349998474121094,,170.8800048828125,65.0,,167.5800018310547,62.900001525878906,,170.8800048828125,62.900001525878906,,2237680,156305,
2012-12-24,150.23976135253906,59.39889907836914,,169.8300018310547,62.849998474121094,,170.8000030517578,63.79999923706055,,166.9199981689453,62.75,,169.10000610351562,63.70000076293945,,1366315,32039,
2012-12-26,151.38980102539062,59.25713348388672,,171.1300048828125,62.70000076293945,,172.19000244140625,63.25,,169.6199951171875,62.400001525878906,,170.9600067138672,63.20000076293945,,1924185,45607,
2012-12-27,152.08868408203125,58.69008255004883,,171.9199981689453,62.099998474121094,,173.1999969482422,63.25,,170.00999450683594,62.0,,172.13999938964844,63.25,,2619390,26479,
2012-12-28,151.74368286132812,58.40655517578125,,171.52999877929688,61.79999923706055,,173.60000610351562,62.70000076293945,,170.0500030517578,61.5,,173.1199951171875,62.599998474121094,,1999970,34884,
2012-12-31,153.3006591796875,58.12302017211914,,173.2899932861328,61.5,,175.10000610351562,62.45000076293945,,171.69000244140625,61.400001525878906,,172.0,62.25,,2754860,28606,
2013-01-01,156.32615661621094,58.45380783081055,,176.7100067138672,61.849998474121094,,177.0,62.45000076293945,,174.1999969482422,61.599998474121094,,174.39999389648438,62.0,,1887960,54212,
2013-01-02,157.0338592529297,59.068115234375,,177.50999450683594,62.5,,179.5800018310547,63.599998474121094,,176.72000122070312,62.25,,177.22000122070312,62.79999923706055,,2304860,58860,
2013-01-03,157.3877410888672,59.068115234375,,177.91000366210938,62.5,,179.8000030517578,63.25,,175.66000366210938,62.0,,178.39999389648438,62.900001525878906,,3287400,40449,
2013-01-04,156.4588623046875,58.548316955566406,,176.86000061035156,61.95000076293945,,178.36000061035156,62.75,,175.61000061035156,61.79999923706055,,177.0,62.75,,2949995,42543,
2013-01-07,155.40611267089844,58.73734664916992,,175.6699981689453,62.150001525878906,,178.24000549316406,62.900001525878906,,174.85000610351562,62.0,,177.39999389648438,62.5,,1281325,36639,
2013-01-08,156.1138458251953,58.501068115234375,,176.47000122070312,61.900001525878906,,177.35000610351562,62.70000076293945,,173.25,61.70000076293945,,175.60000610351562,62.45000076293945,,1778660,33861,
2013-01-09,153.94644165039062,58.31204605102539,,174.02000427246094,61.70000076293945,,177.8000030517578,63.349998474121094,,173.2100067138672,61.70000076293945,,177.39999389648438,62.0,,2281450,51011,
2013-01-10,156.34385681152344,58.1702766418457,,176.72999572753906,61.54999923706055,,177.27000427246094,62.54999923706055,,174.2100067138672,61.400001525878906,,174.97999572753906,62.099998474121094,,3365805,31557,
2013-01-11,154.2737579345703,57.272438049316406,,174.38999938964844,60.599998474121094,,177.3800048828125,62.099998474121094,,173.64999389648438,60.29999923706055,,176.97999572753906,62.04999923706055,,1281270,30546,
2013-01-14,155.5299835205078,57.93400573730469,,175.80999755859375,61.29999923706055,,176.5500030517578,61.5,,172.60000610351562,60.5,,174.82000732421875,60.95000076293945,,3854220,24275,
2013-01-15,155.31765747070312,57.69773864746094,,175.57000732421875,61.04999923706055,,177.08999633789062,61.599998474121094,,174.60000610351562,60.95000076293945,,174.60000610351562,61.349998474121094,,4212345,15341,
2013-01-16,154.55685424804688,56.799903869628906,,174.7100067138672,60.099998474121094,,176.8000030517578,61.29999923706055,,172.0,60.04999923706055,,174.91000366210938,61.29999923706055,,3623420,22583,
2013-01-17,153.39796447753906,57.31969451904297,,173.39999389648438,60.650001525878906,,175.8000030517578,61.95000076293945,,172.77999877929688,60.5,,174.63999938964844,61.79999923706055,,5062095,64762,
2013-01-18,156.52076721191406,57.461463928222656,,176.92999267578125,60.79999923706055,,179.1699981689453,61.5,,173.60000610351562,60.599998474121094,,173.8000030517578,61.45000076293945,,5187375,26658,
2013-01-21,155.87496948242188,67.33765411376953,,176.1999969482422,71.25,,179.36000061035156,72.0999984741211,,175.60000610351562,61.54999923706055,,177.94000244140625,61.79999923706055,,3121220,1256238,
2013-01-22,154.14990234375,69.1333236694336,,174.25,73.1500015258789,,179.60000610351562,75.0,,173.82000732421875,68.0999984741211,,176.4499969482422,70.9000015258789,,3099565,1243757,
2013-01-23,153.48643493652344,69.8421401977539,,173.5,73.9000015258789,,176.0,74.69999694824219,,169.3000030517578,70.5999984741211,,176.0,73.0999984741211,,2339980,284456,
2013-01-24,148.55010986328125,70.64546966552734,,167.9199981689453,74.75,,174.9600067138672,80.30000305175781,,167.10000610351562,72.1500015258789,,173.41000366210938,73.0999984741211,,3312220,621347,
2013-01-25,156.05191040039062,70.17291259765625,,176.39999389648438,74.25,,177.66000366210938,77.4000015258789,,166.0,73.0,,167.39999389648438,74.69999694824219,,8506010,149971,
2013-01-28,153.9287567138672,69.55860900878906,,174.0,73.5999984741211,,176.97999572753906,76.80000305175781,,173.16000366210938,73.0,,176.39999389648438,73.5999984741211,,3353610,156137,
2013-01-29,149.79745483398438,71.07075500488281,,169.3300018310547,75.19999694824219,,176.19000244140625,76.19999694824219,,168.60000610351562,73.30000305175781,,174.36000061035156,73.30000305175781,,8277585,114660,
2013-01-30,147.2584991455078,74.42582702636719,,166.4600067138672,78.75,,171.83999633789062,79.69999694824219,,165.64999389648438,75.19999694824219,,170.22000122070312,75.5,,4225170,319187,
2013-01-31,153.53065490722656,74.37857818603516,,173.5500030517578,78.69999694824219,,174.38999938964844,81.5,,166.2100067138672,78.1500015258789,,166.2100067138672,78.80000305175781,,7073995,274766,
2013-02-01,153.57489013671875,72.34662628173828,,173.60000610351562,76.55000305175781,,175.22000122070312,79.5,,172.60000610351562,76.05000305175781,,173.5500030517578,78.94999694824219,,3232220,100448,
2013-02-04,142.2779541015625,74.70935821533203,,160.8300018310547,79.05000305175781,,175.1699981689453,81.0,,159.63999938964844,77.5,,173.8000030517578,78.0,,29375205,209882,
2013-02-05,138.41204833984375,74.52032470703125,,156.4600067138672,78.8499984741211,,159.52999877929688,80.0,,155.2899932861328,77.69999694824219,,158.39999389648438,78.55000305175781,,10999255,87230,
2013-02-06,140.72982788085938,74.7566146850586,,159.0800018310547,79.0999984741211,,160.99000549316406,81.0,,157.6999969482422,78.55000305175781,,157.77999877929688,79.0,,6002535,107266,
2013-02-07,136.78427124023438,75.22916412353516,,154.6199951171875,79.5999984741211,,160.58999633789062,80.69999694824219,,153.5,78.0,,158.60000610351562,78.5,,9202675,189278,
2013-02-08,135.92616271972656,74.37857818603516,,153.64999389648438,78.69999694824219,,155.72999572753906,80.69999694824219,,152.6199951171875,77.6500015258789,,155.00999450683594,80.0,,8170515,83440,
2013-02-11,135.40423583984375,74.04777526855469,,153.05999755859375,78.3499984741211,,155.6999969482422,79.80000305175781,,152.60000610351562,78.0,,154.75999450683594,79.05000305175781,,4453615,72996,
2013-02-12,136.50115966796875,74.80386352539062,,154.3000030517578,79.1500015258789,,154.69000244140625,79.5,,151.64999389648438,78.0,,153.60000610351562,78.30000305175781,,3414430,96031,
