,bill_number,category
355,G0475061,"['FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO', 'FOOD']"
356,G0475065,"['FOOD', 'TOBACCO']"
357,G0475070,"['FOOD', 'TOBACCO']"
358,G0475075,['FOOD']
359,G0475079,"['FOOD', 'TOBACCO']"
360,G0475089,"['FOOD', 'FOOD', 'FOOD', 'BEVERAGE']"
361,G0475090,"['FOOD', 'FOOD', 'FOOD']"
362,G0475093,"['FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
363,G0475096,"['FOOD', 'BEVERAGE']"
364,G0475100,['FOOD']
365,G0475102,"['FOOD', 'TOBACCO']"
366,G0475104,"['FOOD', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO', 'TOBACCO', 'FOOD']"
367,G0475120,['FOOD']
368,G0474962,"['FOOD', 'TOBACCO']"
369,G0475123,"['FOOD', 'FOOD']"
370,G0475127,"['FOOD', 'TOBACCO']"
371,G0475129,"['FOOD', 'FOOD', 'TOBACCO']"
372,G0475140,['TOBACCO']
373,G0475141,['TOBACCO']
374,G0475144,"['TOBACCO', 'FOOD']"
375,G0475145,['TOBACCO']
376,G0475147,['TOBACCO']
377,G0474971,['TOBACCO']
378,G0474973,['TOBACCO']
379,G0474976,['TOBACCO']
380,G0474977,['TOBACCO']
381,G0474982,['TOBACCO']
382,G0474994,['TOBACCO']
383,G0474995,"['TOBACCO', 'BEVERAGE']"
384,G0475001,"['TOBACCO', 'TOBACCO']"
385,G0475011,['TOBACCO']
386,G0475013,['TOBACCO']
387,G0475017,['TOBACCO']
388,G0475033,['TOBACCO']
389,G0475037,['TOBACCO']
390,G0475044,"['TOBACCO', 'TOBACCO']"
391,G0475045,['TOBACCO']
392,G0475047,['TOBACCO']
393,G0475050,['TOBACCO']
394,G0475053,"['TOBACCO', 'BEVERAGE']"
395,G0475064,['TOBACCO']
396,G0475083,['TOBACCO']
397,G0475086,['TOBACCO']
398,G0475087,['TOBACCO']
399,G0475092,"['TOBACCO', 'TOBACCO']"
400,G0475099,"['TOBACCO', 'BEVERAGE']"
401,G0475105,['TOBACCO']
402,G0475106,['TOBACCO']
403,G0474960,['TOBACCO']
404,G0475110,['TOBACCO']
405,G0475111,['TOBACCO']
406,G0475114,['TOBACCO']
407,G0475119,['TOBACCO']
408,G0474963,['TOBACCO']
409,G0475124,['TOBACCO']
410,G0475130,['TOBACCO']
411,N0030514,['LIQUOR']
412,N0030519,"['LIQUOR', 'LIQUOR']"
413,N0030522,['LIQUOR']
414,N0030523,['LIQUOR']
415,N0030544,['LIQUOR']
416,N0030571,['LIQUOR']
417,N0030557,['LIQUOR']
418,N0030563,['LIQUOR']
419,N0030565,['LIQUOR']
420,N0030575,['LIQUOR']
421,N0030576,['LIQUOR']
422,N0030580,['LIQUOR']
423,N0030586,['LIQUOR']
424,N0030613,['LIQUOR']
425,N0030602,['LIQUOR']
426,N0030606,['LIQUOR']
427,N0030609,['LIQUOR']
428,N0030611,['LIQUOR']
429,N0030629,['LIQUOR']
430,N0030615,['LIQUOR']
431,N0030619,['LIQUOR']
432,N0030636,['LIQUOR']
433,N0030640,['LIQUOR']
434,N0030662,['LIQUOR']
435,N0030669,['LIQUOR']
436,N0030670,"['LIQUOR', 'LIQUOR']"
437,N0030699,['LIQUOR']
438,N0030679,['LIQUOR']
439,N0030686,"['LIQUOR', 'WINES']"
440,N0030695,"['LIQUOR', 'LIQUOR']"
441,N0030703,['LIQUOR']
442,N0030705,['LIQUOR']
443,N0030709,['LIQUOR']
444,N0030715,['LIQUOR']
445,N0030431,['LIQUOR']
446,N0030432,['LIQUOR']
447,N0030433,"['LIQUOR', 'LIQUOR']"
448,N0030434,['LIQUOR']
449,N0030435,['LIQUOR']
450,N0030436,"['LIQUOR', 'WINES']"
451,N0030437,['LIQUOR']
452,N0030439,['LIQUOR']
453,N0030445,"['LIQUOR', 'LIQUOR']"
454,N0030446,['LIQUOR']
455,N0030450,['LIQUOR']
456,N0030452,['LIQUOR']
457,N0030453,['LIQUOR']
458,N0030454,['LIQUOR']
459,N0030462,['LIQUOR']
460,N0030478,['LIQUOR']
461,N0030479,['LIQUOR']
462,N0030483,['LIQUOR']
463,N0030486,['LIQUOR']
464,N0030487,['LIQUOR']
465,N0030489,['LIQUOR']
466,N0030490,['LIQUOR']
467,N0030491,"['LIQUOR', 'WINES']"
468,N0030496,['LIQUOR']
469,N0030497,['LIQUOR']
470,N0030498,['LIQUOR']
471,N0030500,['LIQUOR']
472,N0030504,['LIQUOR']
473,N0030505,['LIQUOR']
474,N0030513,['LIQUOR']
475,G0479892,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
476,G0479898,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
477,G0479899,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
478,G0479762,"['BEVERAGE', 'FOOD']"
479,G0479900,"['BEVERAGE', 'TOBACCO']"
480,G0479764,['BEVERAGE']
481,G0479901,"['BEVERAGE', 'FOOD', 'TOBACCO', 'FOOD', 'FOOD']"
482,G0479768,"['BEVERAGE', 'BEVERAGE']"
483,G0479772,"['BEVERAGE', 'FOOD', 'TOBACCO']"
484,G0479773,['BEVERAGE']
485,G0479778,"['BEVERAGE', 'FOOD', 'FOOD']"
486,G0479780,"['BEVERAGE', 'TOBACCO']"
487,G0479781,"['BEVERAGE', 'FOOD']"
488,G0479784,"['BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD']"
489,G0479787,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
490,G0479788,"['BEVERAGE', 'TOBACCO']"
491,G0479791,['BEVERAGE']
492,G0479795,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
493,G0479798,['BEVERAGE']
494,G0479800,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'TOBACCO']"
495,G0479801,"['BEVERAGE', 'FOOD', 'FOOD']"
496,G0479804,"['BEVERAGE', 'FOOD', 'FOOD']"
497,G0479809,"['BEVERAGE', 'TOBACCO']"
498,G0479811,"['BEVERAGE', 'BEVERAGE']"
499,G0479816,['BEVERAGE']
500,G0479820,['BEVERAGE']
501,G0479821,"['BEVERAGE', 'FOOD', 'FOOD']"
502,G0479823,"['BEVERAGE', 'FOOD']"
503,G0479824,"['BEVERAGE', 'TOBACCO', 'TOBACCO', 'TOBACCO']"
504,G0479827,"['BEVERAGE', 'BEVERAGE', 'BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
505,G0479828,"['BEVERAGE', 'FOOD', 'TOBACCO', 'FOOD']"
506,G0479829,"['BEVERAGE', 'FOOD', 'FOOD']"
507,G0479831,"['BEVERAGE', 'FOOD', 'FOOD']"
508,G0479833,"['BEVERAGE', 'FOOD', 'FOOD']"
509,G0479836,"['BEVERAGE', 'FOOD']"
510,G0479839,"['BEVERAGE', 'TOBACCO', 'TOBACCO']"
511,G0479841,"['BEVERAGE', 'FOOD']"
512,G0479842,"['BEVERAGE', 'FOOD']"
513,G0479843,"['BEVERAGE', 'FOOD', 'FOOD']"
514,G0479844,"['BEVERAGE', 'BEVERAGE']"
515,G0479845,['BEVERAGE']
516,G0479847,"['BEVERAGE', 'FOOD']"
517,G0479849,['BEVERAGE']
518,G0479850,['BEVERAGE']
519,G0479855,"['BEVERAGE', 'FOOD', 'FOOD', 'FOOD', 'FOOD']"
520,G0479857,"['BEVERAGE', 'FOOD', 'FOOD', 'TOBACCO']"
521,G0479858,"['BEVERAGE', 'BEVERAGE']"
522,G0479748,"['BEVERAGE', 'FOOD']"
523,G0479867,"['BEVERAGE', 'FOOD', 'FOOD']"
524,G0479869,"['BEVERAGE', 'TOBACCO']"
525,G0479870,"['BEVERAGE', 'BEVERAGE', 'TOBACCO']"
526,G0479871,"['BEVERAGE', 'FOOD', 'TOBACCO']"
527,G0479872,"['BEVERAGE', 'BEVERAGE', 'FOOD']"
