,index,Item_Desc,Rate
461,461,SALI PER EDU/PAPETA PER EDU   ,110.0
462,462,SALSA WRAP                    ,151.64634146341464
463,463,SAMBUCA                       ,364.6054713995026
464,464,SANDASS                       ,455.25
465,465,SANGRIA ROSE (CARAFE)         ,808.3333333333334
466,466,SANGRIA ROSE (GLS)            ,175.0
467,467,SATAY CHICKEN PANINI          ,115.18311291963377
468,468,SCHNEIDER 2+1                 ,600.0
469,469,SCHNEIDER BUCKET - 6          ,1200.0
470,470,SCHNEIDER WEISSE              ,300.0
471,471,SCRAMBLED EGGS                ,101.21993127147766
472,472,SCRAMBLED EGGS + BEVERAGE     ,99.0
473,473,SEASONAL FRUITPIE (LOWCAL)    ,140.0
474,474,SHAKE GLASS                   ,250.0
475,475,SHERRIED GARLIC MUSHROOMS CRUS,115.0
476,476,SHERRIED MUSHROOMS CROQUE     ,125.0
477,477,SILVER APPLE SINGLE           ,257.05479452054794
478,478,SILVER STYLER 1.0             ,351.0
479,479,SMOKED CHICK & PESTO CREAM CRO,140.0
480,480,SNICKER BAR SHAKE             ,135.0
481,481,SOYA BOLOGNAISE               ,250.0
482,482,SOYA SAMMICH                  ,175.0
483,483,SPANISH OMELETTE BREAKFAST    ,130.07082152974505
484,484,SPICE SHEESHA                 ,450.0
485,485,SPICED LEMON AND BASIL VELOUTE,75.390625
486,486,SPINACH TEMPURA               ,125.0
487,487,SR.CHL AVALANCHE              ,240.32697547683924
488,488,SRILANKAN OMELETTE BREAKFAST  ,130.0
489,489,STELLA 1LTR 2+1               ,1300.0
490,490,STELLA ARTOIS                 ,225.0
491,491,STELLA ARTOIS (GLS)           ,242.64705882352942
492,492,STELLA ARTOIS MUG (1 LTR)     ,634.6153846153846
493,493,STELLA ARTOIS MUG (1/2 LTR)   ,350.0
494,494,STRAWBERRY CHEESECAKE SHAKE   ,135.0
495,495,STRAWBERRY FLAVOUR SINGLE     ,233.78378378378378
496,496,STRAWBERRY ICED TEA           ,85.0
497,497,STRAWBERRY LITE SHAKE         ,115.0
498,498,STRAWBERRY MERINGUE           ,200.0
499,499,STUFFED MUSHROOM              ,143.26923076923077
500,500,SUGARLESS LEMON ICE TEA       ,95.0
501,501,SULA BLUSH ZINFANDEL (BTL)    ,900.0
502,502,SULA BLUSH ZINFANDEL(GLS)     ,200.0
503,503,SULA BRUT (BTL)               ,1200.0
504,504,SULA CHENIN BLANC (BTL)       ,800.0
505,505,SULA CHENIN BLANC (GLS)       ,175.0
506,506,SULA SATORI MERLOT (BTL)      ,800.0
507,507,SULA SATORI MERLOT (GLS)      ,175.0
508,508,SUMATRA MANDHELING (AULAIT)   ,115.0
509,509,SUMATRA MANDHELING (REG)      ,95.0
510,510,SUNNY SIDE UP                 ,120.58823529411765
511,511,SUNNY SIDE UP/BULLS EYE       ,95.0
512,512,SUNNY SIDEUP + BEVERAGE       ,99.0
513,513,SUNSHINE SHAKE                ,135.0
514,514,SWEET MELON FLAVOUR SINGLE    ,225.0
515,515,TENNESSEE CHICKEN WINGS       ,178.28947368421052
516,516,TEQUILA                       ,300.0
517,517,THANK GOD ITS A SUNDAE        ,156.2704918032787
518,518,THAT CHOCOLATE THING......... ,140.0
519,519,THE  CHAMPAGNE SHEESHA        ,383.8942307692308
520,520,THE AFTER EIGHT SHAKE         ,180.0
521,521,THE CHOC FATHER               ,160.0
522,522,THE CHOCO LATTE               ,97.30123180291153
